genes,cmp,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,pass_filter,direction
AT3G01010,M1_A1,0,0,NA,NA,NA,1,1,Insignificant
AT3G01015,M1_A1,0.125224575701476,-0.012884299004338,0.0808095061633592,-0.0956561917011516,0.92379363524255,0.995710099481803,1,Down
AT3G01020,M1_A1,0,0,NA,NA,NA,1,1,Insignificant
AT3G01030,M1_A1,0,0,NA,NA,NA,1,1,Insignificant
AT3G01040,M1_A1,144.53907892842,-0.179307138245478,0.260397200768108,-1.01324377408169,0.310943736478437,0.995710099481803,1,Down
AT3G01050,M1_A1,71.7381472996247,-0.250548293519519,0.280109425848635,-0.810057893274208,0.41790690307066,0.995710099481803,1,Down
AT3G01060,M1_A1,122.696578873229,0.670608438342937,0.291233355493611,0.382875683799267,0.701811941596557,0.995710099481803,1,Up
AT3G01070,M1_A1,1.08420214756646,0.0691703537841278,0.152548701513294,-0.0863285496525858,0.931205243847342,0.995710099481803,1,Up
AT3G01080,M1_A1,43.1766066700129,-0.208687912204147,0.288513089455438,-0.817232775043799,0.413795415752662,0.995710099481803,1,Down
AT3G01085,M1_A1,0,0,NA,NA,NA,1,1,Insignificant
AT3G01090,M1_A1,168.842529203709,-0.433823357325125,0.252021694648677,-1.60804549253124,0.107825215680178,0.995710099481803,1,Down
AT3G01100,M1_A1,81.7311042526946,0.00870055105532597,0.268043061955557,0.406553065021207,0.684336275182663,0.995710099481803,1,Up
AT3G01120,M1_A1,1105.36282243614,0.0210479455561342,0.256700406185972,-0.0138249154053919,0.988969664812928,0.995710099481803,1,Up
AT3G01130,M1_A1,137.196754560654,-0.212677637688843,0.279120181800347,-0.00553895602964447,0.99558057509901,0.995710099481803,1,Down
AT3G01140,M1_A1,19.3741857807295,-0.464577556542548,0.290276096797478,-1.29121595822659,0.196628802987198,0.995710099481803,1,Down
AT3G01150,M1_A1,90.8181131894553,-0.475621155779561,0.280820226668115,-1.43128091961141,0.152349720083976,0.995710099481803,1,Down
AT3G01160,M1_A1,83.3387106294732,-0.136608848577219,0.27942311590259,-0.794036466287187,0.427174202429565,0.995710099481803,1,Down
AT3G01170,M1_A1,76.6759927161876,-0.434306224900417,0.283577211228934,-1.48216606565229,0.13829611343548,0.995710099481803,1,Down
AT4G00005,M1_A1,0,0,NA,NA,NA,1,1,Insignificant
AT4G00020,M1_A1,11.7097343963866,-0.195954272766261,0.289611572454324,-0.804715155350534,0.420984071936464,0.995710099481803,1,Down
AT4G00026,M1_A1,54.414139316612,-0.0171512904925064,0.286977353834778,0.1137868255993,0.909406782407402,0.995710099481803,1,Down
AT4G00030,M1_A1,126.477449410671,-0.260334955443509,0.292256021968537,-0.727020719425098,0.467213263283357,0.995710099481803,1,Down
AT4G00040,M1_A1,165.48901421955,-0.164496833173774,0.27053277989901,-0.0821061384521892,0.934562311829358,0.995710099481803,1,Down
AT4G00050,M1_A1,114.558832202252,-0.0650897789054853,0.291715118251316,0.513084433404987,0.607892259999783,0.995710099481803,1,Down
AT4G00060,M1_A1,161.21978826083,-0.128523549161898,0.270607918893817,-0.20940310659007,0.834133567816242,0.995710099481803,1,Down
AT4G00070,M1_A1,0.281461453250061,-0.015850249321266,0.0810973156425015,0.113799315220127,0.909396881442853,0.995710099481803,1,Down
AT4G00080,M1_A1,0,0,NA,NA,NA,1,1,Insignificant
AT4G00090,M1_A1,76.849537659181,-0.545051588050895,0.280978804325913,-1.33690034855214,0.181255167051074,0.995710099481803,1,Down
AT4G00100,M1_A1,507.331008021021,-0.180988447172774,0.275106519705672,0.239659114910495,0.810594532858764,0.995710099481803,1,Down
AT4G00110,M1_A1,45.587638663458,-0.378552781543079,0.275760499009594,-1.38132809021611,0.167178105016301,0.995710099481803,1,Down
AT4G00120,M1_A1,0,0,NA,NA,NA,1,1,Insignificant
AT4G00124,M1_A1,0,0,NA,NA,NA,1,1,Insignificant
AT4G00130,M1_A1,6.21111563426231,-0.0512117266798888,0.275847814096927,-0.657712185552195,0.510723090735538,0.995710099481803,1,Down
AT4G00140,M1_A1,12.3698599680571,-0.273754473333609,0.289274835569185,-0.785439322323172,0.432196033229978,0.995710099481803,1,Down
AT5G01010,M1_A1,409.224968874075,-0.479773646793049,0.247510131633506,-1.48138302868787,0.138504534561494,0.995710099481803,1,Down
AT5G01015,M1_A1,15.2498629356381,0.320605048972389,0.262969066711902,1.05678396404462,0.290610194523328,0.995710099481803,1,Up
AT5G01020,M1_A1,277.284794936012,-0.0772560781681731,0.267268531670575,0.591591519361458,0.554124154158883,0.995710099481803,1,Down
AT5G01030,M1_A1,60.9059559523584,-0.0392121520485943,0.273031422021082,-0.45151448620118,0.651618786807154,0.995710099481803,1,Down
AT5G01040,M1_A1,34.907459010901,0.393955266393992,0.296429887956275,-0.309254248112427,0.757128130904969,0.995710099481803,1,Up
AT5G01050,M1_A1,1.97443041018832,0.234064380302882,0.177998638660231,0.443302959444887,0.657546615483131,0.995710099481803,1,Up
AT5G01060,M1_A1,0.0504973010216314,-0.00892911148634533,0.0805181041603245,0.113812263241579,0.90938661710276,0.995710099481803,1,Down
AT5G01070,M1_A1,0.168573509885187,0.0637478977098122,0.0810819556205093,0.519969720100602,0.603084679896537,0.995710099481803,1,Up
